封面,名称,类型,排名,话数,放送时间,导演,声优,脚本,评分,评分人数
https://lain.bgm.tv/pic/cover/s/9e/3c/12426_vt490.jpg,轻音少女 剧场版,剧场版,173,1,2011年12月3日,山田尚子,豊崎愛生、日笠陽子、佐藤聡美、寿美菜子、竹達彩奈、藤東知夏、米澤円、真田アサミ、永田依子,"['かきふらい（芳文社「まんがタイムきらら」連載）', '堀口悠紀子']",8.1,5737
https://lain.bgm.tv/pic/cover/s/b1/b2/18294_be4AB.jpg,歌牌情缘,TV,174,25,2011年10月4日,浅香守生,瀬戸麻沙美、寺崎裕香、細谷佳正、宮野真守、高垣彩陽、茅野愛衣、奈良徹、代永翼、中道美穂子、甲斐田裕子、東地宏樹,['末次由紀（講談社「BE・LOVE」連載）'],8.1,3975
https://lain.bgm.tv/pic/cover/s/ec/88/12885_NVyWs.jpg,攻壳机动队 S.A.C. SSS 3D,剧场版,175,1,2011年3月26日,未知,田中敦子、大塚明夫、阪脩、山寺宏一、大川透、玉川砂記子、山口太郎,[],8.1,723
https://lain.bgm.tv/pic/cover/s/d7/cb/37063_2qQoN.jpg,百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,OVA,176,1,2006年1月27日,未知,大原さやか、広橋涼、下野紘,[],8.2,372
https://lain.bgm.tv/pic/cover/s/31/79/48746_X90dQ.jpg,攻壳机动队 S.A.C. 2nd GIG 个别的十一人,OVA,177,1,2006年1月27日,未知,田中敦子、大塚明夫、阪脩、仲野裕、大川透、小野塚貴志、玉川砂記子,[],8.1,759
https://lain.bgm.tv/pic/cover/s/3d/32/3423_eLm9L.jpg,剧场版 空之境界 第七章 杀人考察（后）,剧场版,178,1,2009年8月8日,瀧沢進介（あおきえい、野中卓也、近藤光、平尾隆之、小船井充）,坂本真綾、鈴村健一、保志総一朗、本田貴子、中田譲治、東地宏樹、甲斐田裕子、大木民夫、井口裕香,"['奈須きのこ', '須藤友徳、高橋タクロヲ、小船井充']",8.1,5517
https://lain.bgm.tv/pic/cover/s/3d/8e/843_6wj9L.jpg,妄想代理人,TV,179,13,2004年2月2日,今敏,能登麻美子、桃井はるこ、飯塚昭三、関俊彦、内海賢二、山口眞弓、中嶋聡彦、津村まこと、小宮和枝,"['今敏', '安藤雅司']",8.1,2613
https://lain.bgm.tv/pic/cover/s/8d/ed/56847_Z5GY5.jpg,辉夜姬物语,剧场版,180,1,2013年11月23日,「竹取物語」,朝倉あき、内田未来、高良健吾,[],8.1,1445
https://lain.bgm.tv/pic/cover/s/b5/34/496_1D61r.jpg,黑客帝国动画版,OVA,181,9,2003年6月3日,未知,Carrie-Anne Moss,[],8.1,1251
https://lain.bgm.tv/pic/cover/s/7c/a5/1948_cGgcE.jpg,奇诺之旅,TV,182,13,2003年4月8日,中村隆太郎,前田愛、相ヶ瀬龍史、入江崇史、大塚芳忠、渡辺明乃、翠準子、井上和彦、悠木碧、千葉進歩,[],8.1,2639
https://lain.bgm.tv/pic/cover/s/cf/bc/891_d5mwr.jpg,续 夏目友人帐,TV,183,13,2009年1月5日,大森貴弘,神谷浩史、井上和彦、小林沙苗、沢城みゆき、佐藤利奈、木村良平、伊藤美紀、加藤奈々絵、伊藤栄次、堀江一眞,"['緑川ゆき', '髙田晃']",8.1,5111
https://lain.bgm.tv/pic/cover/s/8c/a2/127563_nl66u.jpg,一拳超人,TV,184,12,2015年10月4日,夏目真悟,古川慎、石川界人、安元洋貴、梶裕貴、悠木碧、山路和弘、津田健次郎、宮野真守、沢城みゆき,"['ONE・村田雄介「ワンパンマン」（集英社「となりのヤングジャンプ」連載）', '久保田誓']",8.1,8797
https://lain.bgm.tv/pic/cover/s/83/9a/289_h0nz0.jpg,寒蝉鸣泣之时,TV,185,26,2006年4月4日,今千秋,保志総一朗、中原麻衣、ゆきのさつき、かないみか、田村ゆかり、ゆきのさつき、須加みき、仲野元、茶風林,"['竜騎士07', '07thExpansion', '坂井久太']",8.1,7587
https://lain.bgm.tv/pic/cover/s/e2/5c/3172_Ir0kI.jpg,超时空要塞 可曾记得爱,剧场版,186,1,1984年7月21日,石黒昇、河森正治,飯島真理、土井美加、長谷有洋,"['スタジオぬえ', '美樹本晴彦']",8.1,1252
https://lain.bgm.tv/pic/cover/s/a1/67/68812_4vgt1.jpg,物语系列 第二季,TV,187,26,2013年7月6日,板村智幸,神谷浩史、堀江由衣、堀江由衣、加藤英美里、花澤香菜、坂本真綾、斎藤千和、三木眞一郎、沢城みゆき,"['西尾維新', '渡辺明夫']",8.1,5885
https://lain.bgm.tv/pic/cover/s/cf/a0/259_BlBeX.jpg,夏目友人帐,TV,188,13,2008年7月7日,大森貴弘,神谷浩史、井上和彦、小林沙苗、沢城みゆき、木村良平、伊藤美紀、伊藤栄次、堀江一眞、石田彰、緒乃冬華,['緑川ゆき'],8.1,6967
https://lain.bgm.tv/pic/cover/s/0a/50/10404_xGV8a.jpg,明日之丈,TV,189,79,1970年4月1日,未知,あおい輝彦,[],8.4,137
https://lain.bgm.tv/pic/cover/s/75/96/10843_WM4xX.jpg,白兔糖,TV,190,11,2011年7月7日,亀井幹太,松浦愛弓、土田大、大原さやか、植田佳奈、須藤菜々子、坂本真綾、有川博、鹿野優以、酒井乃碧,"['宇仁田ゆみ', '山下祐']",8.1,6040
https://lain.bgm.tv/pic/cover/s/04/da/10395_H6V9v.jpg,罗密欧的蓝天,TV,191,33,1995-01-15,楠葉宏三,,"['LisaTetzner（DieSchwarzenBrüder）', '佐藤好春']",8.6,77
https://lain.bgm.tv/pic/cover/s/f7/2b/22985_uoFW6.jpg,狮子王,剧场版,192,1,1994年6月15日,,Rowan Atkinson,"['罗杰·阿勒斯', '罗伯·明可夫']",8.1,2088
https://lain.bgm.tv/pic/cover/s/d3/f5/4042_khHph.jpg,祖先大人万万岁,OVA,193,6,1989-08-05,未知,,[],8.1,432
